,Structural,Compositional,Recall,Precision,$\rho$,$E$,# Elements
WyFormer,99.6,81.39999999999999,98.76695437731196,95.94295821357505,0.38718583608147705,0.07798412322616288,0.08119672216507878
WyForDiffCSP++,99.7,81.39999999999999,99.26017262638717,95.85452133539685,0.327697183345934,0.07034254854375545,0.07777619962962287
CrystalFormer,89.91935483870968,84.87903225806451,99.8699609882965,95.44550077382269,0.1855241372421727,0.13857109135332782,0.11892086308182984
DiffCSP++,100.0,85.8,99.41724941724942,95.4786646031395,0.1347932394980777,0.0357113251974211,0.45273007632061374
DiffCSP,100.0,82.5,99.63636363636364,95.18019013928807,0.4560868348411976,0.07505892724843219,0.3205676039635802
FlowMM,96.58976930792377,83.24974924774324,99.75,95.8324121158523,0.16901010005599348,0.05472819855060695,0.10693124032721657
WyCryst,99.89939637826963,82.09255533199196,99.6319018404908,96.16405040902056,0.43529701648503666,0.32950515603452235,0.32175045337464
