Method,Novelty (%),Structural,Compositional,Recall,Precision,$\rho$,$E$,# Elements,S.U.N. (%),Novel Template (%),P1 (%),Space Group,S.S.U.N. (%)
WyckoffTransformer,89.37080024434943,,,,,,,,38.73873873873874,22.846670739156995,1.1164274322169059,0.07896117738893481,38.23823823823824
WyCryst,61.71201520255679,,,,,,,,,30.384382828021078,4.459436761659481,0.4891951837342416,
WyCryst-chgnet,52.61569416498994,99.80879541108987,75.52581261950286,98.8527724665392,87.10462287104623,0.9623966633476462,0.11294447529595297,0.2857558723403174,36.61971830985915,17.20321931589537,4.789272030651341,0.7104723887654064,35.2112676056338
