,Structural,Compositional,Recall,Precision,$\rho$,$E$,# Elements
WyFormer,99.6,81.39999999999999,98.76695437731196,95.94295821357505,0.38718583608147705,0.07798412322616288,0.08119672216507878
WyFormerDiffCSP++,99.8,81.39999999999999,99.50738916256158,95.81030289630776,0.3617345610542797,0.08327041142507044,0.07887409616312471
CrystalFormer,93.3933933933934,84.98498498498499,99.62264150943396,94.56113199204069,0.19311080727105506,0.20838375951630725,0.1282215149125992
DiffCSP++,99.94,85.13,99.67089797837329,99.53570638956445,0.3148895513736754,0.06943396669989707,0.3988778401693648
DiffCSP,100.0,83.2,99.81971153846155,99.51359717001989,0.3507988308123422,0.09498358775504816,0.34659470186567787
FlowMM,96.86937387477495,83.10662132426485,99.72612971492593,99.39199646252487,0.11529296475321163,0.07311446984701309,0.09428050481240899
WyCryst,99.89939637826963,82.09255533199196,99.6319018404908,96.16405040902056,0.43529701648503666,0.32950515603452235,0.32175045337464
